model,N,seed,pretrain_sec,t2t_sec,peak_mem_gb,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,ckp_path,states_path
GDN,10,2020,46.69,35.28,2.68,0.0114,0.0055,0.0038,0.0114,0.0011,/root/DamRec/saved/per_user_pretrain_perN10_L64/GDN-Apr-23-2026_17-50-08.pth,/root/DamRec/saved/per_user_pretrain_perN10_L64/user_states_GDN.pt
Adam,10,2020,204.42,73.35,3.48,0.0088,0.0043,0.0029,0.0088,0.0009,/root/DamRec/saved/per_user_pretrain_perN10_L64/DamRec-Apr-23-2026_17-50-08.pth,/root/DamRec/saved/per_user_pretrain_perN10_L64/user_states_DamRec.pt
Fro,10,2020,57.21,49.18,2.93,0.0113,0.0055,0.0038,0.0113,0.0011,/root/DamRec/saved/per_user_pretrain_perN10_L64/FroRec-Apr-23-2026_17-54-19.pth,/root/DamRec/saved/per_user_pretrain_perN10_L64/user_states_FroRec.pt
GDN,20,2020,370.87,34.07,2.68,0.0101,0.0043,0.0027,0.0101,0.0010,/root/DamRec/saved/per_user_pretrain_perN20_L64/GDN-Apr-23-2026_18-00-10.pth,/root/DamRec/saved/per_user_pretrain_perN20_L64/user_states_GDN.pt
Adam,20,2020,851.49,71.62,3.48,0.0103,0.0046,0.0029,0.0103,0.0010,/root/DamRec/saved/per_user_pretrain_perN20_L64/DamRec-Apr-23-2026_18-00-39.pth,/root/DamRec/saved/per_user_pretrain_perN20_L64/user_states_DamRec.pt
Fro,20,2020,392.14,47.69,2.93,0.0100,0.0045,0.0028,0.0100,0.0010,/root/DamRec/saved/per_user_pretrain_perN20_L64/FroRec-Apr-23-2026_18-09-50.pth,/root/DamRec/saved/per_user_pretrain_perN20_L64/user_states_FroRec.pt
GDN,50,2020,781.13,36.51,2.69,0.0097,0.0043,0.0027,0.0097,0.0010,/root/DamRec/saved/per_user_pretrain_perN50_L64/GDN-Apr-23-2026_18-21-24.pth,/root/DamRec/saved/per_user_pretrain_perN50_L64/user_states_GDN.pt
Adam,50,2020,1628.13,75.01,3.49,0.0091,0.0039,0.0024,0.0091,0.0009,/root/DamRec/saved/per_user_pretrain_perN50_L64/DamRec-Apr-23-2026_18-22-04.pth,/root/DamRec/saved/per_user_pretrain_perN50_L64/user_states_DamRec.pt
Fro,50,2020,1023.94,46.16,2.94,0.0100,0.0044,0.0027,0.0100,0.0010,/root/DamRec/saved/per_user_pretrain_perN50_L64/FroRec-Apr-23-2026_18-38-05.pth,/root/DamRec/saved/per_user_pretrain_perN50_L64/user_states_FroRec.pt
GDN,100,2020,942.13,34.18,2.69,0.0104,0.0048,0.0031,0.0104,0.0010,/root/DamRec/saved/per_user_pretrain_perN100_L64/GDN-Apr-23-2026_18-54-39.pth,/root/DamRec/saved/per_user_pretrain_perN100_L64/user_states_GDN.pt
Adam,100,2020,2190.56,99.90,3.49,0.0096,0.0046,0.0031,0.0096,0.0010,/root/DamRec/saved/per_user_pretrain_perN100_L64/DamRec-Apr-23-2026_18-59-19.pth,/root/DamRec/saved/per_user_pretrain_perN100_L64/user_states_DamRec.pt
Fro,100,2020,1475.47,45.87,2.94,0.0114,0.0053,0.0034,0.0114,0.0011,/root/DamRec/saved/per_user_pretrain_perN100_L64/FroRec-Apr-23-2026_19-14-09.pth,/root/DamRec/saved/per_user_pretrain_perN100_L64/user_states_FroRec.pt
