model,N,seed,t2t_sec,peak_mem_gb,test_recall@10,test_ndcg@10,test_mrr@10,test_hit@10,test_precision@10,test_recall@20,test_ndcg@20,test_mrr@20,test_hit@20,test_precision@20,test_recall@50,test_ndcg@50,test_mrr@50,test_hit@50,test_precision@50,ckp_path,states_path
GDN,10,2020,149.20,2.69,0.0114,0.0055,0.0038,0.0114,0.0011,0.0208,0.0079,0.0044,0.0208,0.0010,0.0479,0.0132,0.0053,0.0479,0.0010,/root/DamRec/saved/per_user_pretrain_perN10_L64/GDN-Apr-23-2026_17-50-08.pth,/root/DamRec/saved/per_user_pretrain_perN10_L64/user_states_GDN.pt
Adam,10,2020,397.97,3.48,0.0088,0.0043,0.0029,0.0088,0.0009,0.0174,0.0064,0.0035,0.0174,0.0009,0.0405,0.0109,0.0042,0.0405,0.0008,/root/DamRec/saved/per_user_pretrain_perN10_L64/DamRec-Apr-23-2026_17-50-08.pth,/root/DamRec/saved/per_user_pretrain_perN10_L64/user_states_DamRec.pt
Fro,10,2020,193.39,2.94,0.0113,0.0055,0.0038,0.0113,0.0011,0.0209,0.0079,0.0044,0.0209,0.0010,0.0481,0.0132,0.0053,0.0481,0.0010,/root/DamRec/saved/per_user_pretrain_perN10_L64/FroRec-Apr-23-2026_17-54-19.pth,/root/DamRec/saved/per_user_pretrain_perN10_L64/user_states_FroRec.pt
GDN,20,2020,170.67,2.69,0.0101,0.0043,0.0027,0.0101,0.0010,0.0209,0.0071,0.0034,0.0209,0.0010,0.0503,0.0129,0.0043,0.0503,0.0010,/root/DamRec/saved/per_user_pretrain_perN20_L64/GDN-Apr-23-2026_18-00-10.pth,/root/DamRec/saved/per_user_pretrain_perN20_L64/user_states_GDN.pt
Adam,20,2020,399.03,3.49,0.0103,0.0046,0.0029,0.0103,0.0010,0.0196,0.0069,0.0035,0.0196,0.0010,0.0442,0.0117,0.0042,0.0442,0.0009,/root/DamRec/saved/per_user_pretrain_perN20_L64/DamRec-Apr-23-2026_18-00-39.pth,/root/DamRec/saved/per_user_pretrain_perN20_L64/user_states_DamRec.pt
Fro,20,2020,187.86,2.94,0.0100,0.0045,0.0028,0.0100,0.0010,0.0196,0.0069,0.0035,0.0196,0.0010,0.0485,0.0125,0.0044,0.0485,0.0010,/root/DamRec/saved/per_user_pretrain_perN20_L64/FroRec-Apr-23-2026_18-09-50.pth,/root/DamRec/saved/per_user_pretrain_perN20_L64/user_states_FroRec.pt
GDN,50,2020,157.06,2.70,0.0097,0.0043,0.0027,0.0097,0.0010,0.0203,0.0070,0.0034,0.0203,0.0010,0.0508,0.0129,0.0043,0.0508,0.0010,/root/DamRec/saved/per_user_pretrain_perN50_L64/GDN-Apr-23-2026_18-21-24.pth,/root/DamRec/saved/per_user_pretrain_perN50_L64/user_states_GDN.pt
Adam,50,2020,433.82,3.49,0.0091,0.0039,0.0024,0.0091,0.0009,0.0191,0.0064,0.0031,0.0191,0.0010,0.0452,0.0115,0.0038,0.0452,0.0009,/root/DamRec/saved/per_user_pretrain_perN50_L64/DamRec-Apr-23-2026_18-22-04.pth,/root/DamRec/saved/per_user_pretrain_perN50_L64/user_states_DamRec.pt
Fro,50,2020,140.37,2.94,0.0100,0.0044,0.0027,0.0100,0.0010,0.0201,0.0069,0.0034,0.0201,0.0010,0.0485,0.0125,0.0043,0.0485,0.0010,/root/DamRec/saved/per_user_pretrain_perN50_L64/FroRec-Apr-23-2026_18-38-05.pth,/root/DamRec/saved/per_user_pretrain_perN50_L64/user_states_FroRec.pt
GDN,100,2020,68.84,2.70,0.0104,0.0048,0.0031,0.0104,0.0010,0.0205,0.0073,0.0038,0.0205,0.0010,0.0494,0.0130,0.0047,0.0494,0.0010,/root/DamRec/saved/per_user_pretrain_perN100_L64/GDN-Apr-23-2026_18-54-39.pth,/root/DamRec/saved/per_user_pretrain_perN100_L64/user_states_GDN.pt
Adam,100,2020,117.99,3.49,0.0096,0.0046,0.0031,0.0096,0.0010,0.0201,0.0072,0.0038,0.0201,0.0010,0.0482,0.0127,0.0047,0.0482,0.0010,/root/DamRec/saved/per_user_pretrain_perN100_L64/DamRec-Apr-23-2026_18-59-19.pth,/root/DamRec/saved/per_user_pretrain_perN100_L64/user_states_DamRec.pt
Fro,100,2020,181.18,2.94,0.0114,0.0053,0.0034,0.0114,0.0011,0.0229,0.0082,0.0043,0.0229,0.0011,0.0524,0.0140,0.0051,0.0524,0.0010,/root/DamRec/saved/per_user_pretrain_perN100_L64/FroRec-Apr-23-2026_19-14-09.pth,/root/DamRec/saved/per_user_pretrain_perN100_L64/user_states_FroRec.pt
